,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
202,Joe Ogilvie,21949,,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,1.67,0.33,1.67,0.33,,,,
204,Ryan Palmer,23320,71.082,0.096,0.176,-0.151,0.481,0.308,-0.385,1.25,0.25,1.25,0.25,1098.0,0.0,0.0,
205,C.T. Pan,29908,,,,,,,,-2.17,0.33,-2.17,0.33,1023.0,1.0,0.0,
206,Taylor Pendrith,40250,71.385,-0.125,0.251,-0.141,-0.102,-0.204,-0.023,,,,,,,,
207,Cameron Percy,22056,71.429,0.291,0.097,-0.131,0.013,-0.172,0.278,-1.75,0.5,-1.75,0.5,,,,
208,Scott Piercy,25818,70.994,0.253,-0.238,0.053,0.194,0.269,0.059,0.33,0.0,0.33,0.0,1110.0,2.0,0.0,
209,Gary Player,01955,,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,2.0,0.0,2.0,0.0,,,,
211,J.T. Poston,49771,70.964,-0.001,0.045,-0.123,0.003,0.067,-0.005,-1.4,0.2,-1.4,0.2,1055.0,-17.0,1.0,
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,,
213,Seamus Power,28252,70.708,0.282,0.028,0.166,-0.177,-0.295,0.459,-3.2,0.8,-3.2,0.8,1111.0,-8.0,1.0,
214,Ted Purdy,21959,,,,,,,,,,,,,,,
215,Andrew Putnam,34256,70.161,0.813,-0.395,0.109,0.165,0.434,0.648,-4.0,1.0,-4.0,1.0,997.0,-4.0,1.0,
216,Jon Rahm,46970,68.732,2.353,0.55,0.157,1.851,1.041,0.502,-8.0,1.0,-8.0,1.0,,,,
217,Aaron Rai,46414,70.655,0.491,0.265,0.136,0.882,0.39,-0.391,-6.0,1.0,-6.0,1.0,998.0,-6.0,1.0,
218,Chad Ramey,47983,71.789,-0.492,-0.227,-0.085,-0.865,-0.483,0.373,,,,,,,,
